group	species	group	n	median_abs	mean_abs	min_abs	max_abs
improved	sorghum	improved	128	654652.0143346	663968.534713909	398775.4810284	995084.7345369
landrace	sorghum	landrace	101	808257.3489922	793497.052474022	499657.0159326	1354994.7057756
wild	sorghum	wild	49	1233093.5147342	1255292.31018014	870165.7925399	1692930.1580388
improved	maize	improved	1110	301394.4326795	282485.953623934	1743.753186	348456.456706
landrace	maize	landrace	26	306939.415595	308585.849761885	296691.950057	325873.075705
wild	maize	wild	20	261703.051606	259307.8339406	243158.7404	273056.76569
landrace	sunflower	landrace	18	155522.73469405	163467.695185044	31586.4413086	397435.5946615
improved	sunflower	improved	288	381379.0485576	380940.300674683	2407.6845569	738956.2224963
wild	sunflower	wild	26	79957.85223545	71028.1219394692	5515.6914365	149002.0181736
